,r_index,book_id,authors,original_title,image_url,average_rating,ratings_count,genre,desc
0,1,2767052,Suzanne Collins,The Hunger Games,https://images.gr-assets.com/books/1447303603l/2767052.jpg,4.34,4780653,"fiction, fantasy","In a future North America, where the rulers of Panem maintain control
through an annual televised survival competition pitting young people from
each of the twelve districts against one another, sixteen-year-old
Katniss's skills are put to the test when she voluntarily takes her younger
sister's place."
1,2,3,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022l/3.jpg,4.44,4602479,"fantasy, fiction","Rescued from the outrageous neglect of his aunt and uncle, a young boy with
a great destiny proves his worth while attending Hogwarts School for
Witchcraft and Wizardry."
2,3,41865,Stephenie Meyer,Twilight,https://images.gr-assets.com/books/1361039443l/41865.jpg,3.57,3866839,"fantasy, fiction","With 160 million copies of the Twilight Saga sold worldwide, this addictive
love story between a teenage girl and a vampire redefined romance for a
generation. Here's the book that started it all. Isabella Swan's move to
Forks, a small, perpetually rainy town in Washington, could have been the
most boring move she ever made. But once she meets the mysterious and
alluring Edward Cullen, Isabella's life takes a thrilling and terrifying
turn. Up until now, Edward has managed to keep his vampire identity a
secret in the small community he lives in, but now nobody is safe,
especially Isabella, the person Edward holds most dear. The lovers find
themselves balanced precariously on the point of a knife-between desire and
danger. Deeply romantic and extraordinarily suspenseful, Twilightcaptures
the struggle between defying our instincts and satisfying our desires. This
is a love story with bite. ""People do not want to just read Meyer's books;
they want to climb inside them and live there.""-Time ""A literary
phenomenon.""-The New York Times"
3,4,2657,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680l/2657.jpg,4.25,3198671,"classics, fiction","The unforgettable novel of a childhood in a sleepy Southern town and the
crisis of conscience that rocked it, To Kill A Mockingbird became both an
instant bestseller and a critical success when it was first published in
1960. It went on to win the Pulitzer Prize in 1961 and was later made into
an Academy Award-winning film, also a classic. Compassionate, dramatic, and
deeply moving, To Kill A Mockingbird takes readers to the roots of human
behavior - to innocence and experience, kindness and cruelty, love and
hatred, humor and pathos. Now with over 18 million copies in print and
translated into forty languages, this regional story by a young Alabama
woman claims universal appeal. Harper Lee always considered her book to be
a simple love story. Today it is regarded as a masterpiece of American
literature."
4,5,4671,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560l/4671.jpg,3.89,2683664,"classics, fiction","A young man newly rich tries to recapture the past and win back his former
love, despite the fact that she has married."
5,6,11870085,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420l/11870085.jpg,4.26,2346404,"fiction, romance","Despite the medical miracle that has bought her a few more years, Hazel has
never been anything but terminal, but when Augustus Waters suddenly appears
at the Cancer Kid Support Group, Hazel's story is about to be rewritten."
6,7,5907,J.R.R. Tolkien,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500l/5907.jpg,4.25,2071616,"fantasy, classics","Chronicles the adventures of the inhabitants of Middle-earth and Bilbo
Baggins, the hobbit who brought home to The Shire the One Ring of Power"
7,8,5107,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300l/5107.jpg,3.79,2044241,"classics, fiction","The ""brilliant, funny, meaningful novel"" (The New Yorker) that established
J. D. Salinger as a leading voice in American literature--and that has
instilled in millions of readers around the world a lifelong love of books.
""If you really want to hear about it, the first thing you'll probably want
to know is where I was born, and what my lousy childhood was like, and how
my parents were occupied and all before they had me, and all that David
Copperfield kind of crap, but I don't feel like going into it, if you want
to know the truth."" The hero-narrator of The Catcher in the Rye is an
ancient child of sixteen, a native New Yorker named Holden Caufield.
Through circumstances that tend to preclude adult, secondhand description,
he leaves his prep school in Pennsylvania and goes underground in New York
City for three days."
8,9,960,Dan Brown,Angels & Demons ,https://images.gr-assets.com/books/1303390735l/960.jpg,3.85,2001311,"fiction, mystery","The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times
bestselling author of The Da Vinci Code and Inferno—now a major film
directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels &
Demons careens from enlightening epiphanies to dark truths as the battle
between science and religion turns to war. This is the book that started it
all: we meet Robert Langdon for the first time, caught up in a race against
time to find an apocalyptic time-bomb, planted by an ancient secret society
that has surfaced to carry out its ultimate threat: to destroy the Vatican."
9,10,1885,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351l/1885.jpg,4.24,2035490,"classics, fiction","In early nineteenth-century England, a spirited young woman copes with the
suit of a snobbish gentleman, as well as the romantic entanglements of her
four sisters."
10,11,77203,Khaled Hosseini,The Kite Runner ,https://images.gr-assets.com/books/1484565687l/77203.jpg,4.26,1813044,"fiction, contemporary",The Kite Runner Khaled Hosseini
11,12,13335037,Veronica Roth,Divergent,https://images.gr-assets.com/books/1328559506l/13335037.jpg,4.24,1903563,"fiction, fantasy","Paperback features over fifty pages of bonus materials, including a sneak
peek of Insurgent, an author Q&A, a discussion guide, a Divergent playlist,
faction manifestos, and more! In Beatrice Prior's dystopian Chicago world,
society is divided into five factions, each dedicated to the cultivation of
a particular virtue—Candor (the honest), Abnegation (the selfless),
Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent).
On an appointed day of every year, all sixteen-year-olds must select the
faction to which they will devote the rest of their lives. For Beatrice,
the decision is between staying with her family and being who she really
is—she can't have both. So she makes a choice that surprises everyone,
including herself. During the highly competitive initiation that follows,
Beatrice renames herself Tris and struggles alongside her fellow initiates
to live out the choice they have made. Together they must undergo extreme
physical tests of endurance and intense psychological simulations, some
with devastating consequences. As initiation transforms them all, Tris must
determine who her friends really are—and where, exactly, a romance with a
sometimes fascinating, sometimes exasperating boy fits into the life she's
chosen. But Tris also has a secret, one she's kept hidden from everyone
because she's been warned it can mean death. And as she discovers unrest
and growing conflict that threaten to unravel her seemingly perfect
society, she also learns that her secret might help her save those she
loves . . . or it might destroy her. Veronica Roth is the New York Times
bestselling author of Divergent, the first in a trilogy of dystopian
thrillers filled with electrifying decisions, heartbreaking betrayals,
stunning consequences, and unexpected romance."
12,13,5470,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566l/5470.jpg,4.14,1956832,"fiction, fantasy","Renowned urban artist Shepard Fairey's new look for Orwell's classic
dystopian tale One of Britain's most popular novels, George Orwell's
Nineteen Eighty-Four is set in a society terrorised by a totalitarian
ideology propagated by The Party. Winston Smith works for the Ministry of
Truth in London, chief city of Airstrip One. Big Brother stares out from
every poster, the Thought Police uncover every act of betrayal. When
Winston finds love with Julia, he discovers that life does not have to be
dull and deadening, and awakens to new possibilities. Despite the police
helicopters that hover and circle overhead, Winston and Julia begin to
question the Party; they are drawn towards conspiracy. Yet Big Brother will
not tolerate dissent - even in the mind. For those with original thoughts
they invented Room 101. . . Nineteen Eighty-Four is George Orwell's
terrifying vision of a totalitarian future in which everything and everyone
is slave to a tyrannical regime. The novel also coined many new words and
phrases which regular appear in popular culture, such as 'Big Brother',
'thoughtcrime', 'doublethink' and 'Newspeak'."
13,14,7613,George Orwell,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542l/7613.jpg,3.87,1881700,"classics, fiction","A satire on totalitarianism in which farm animals overthrow their human
owner and set up their own government"
14,15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407l/48855.jpg,4.1,1972666,"classics, history","Dagboek waarin een gevoelig joods meisje, ondergedoken in een achterhuis op
één der Amsterdamse grachten, zich met grote openhartigheid uitspreekt over
ales wat haar van haar 13e tot haar 15e jaar bezighoudt."
15,16,2429135,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566l/2429135.jpg,4.11,1808403,"fiction, mystery","Forty years after the disappearance of Harriet Vanger from the secluded
island owned and inhabited by the powerful Vanger family, her octogenarian
uncle hires journalist Mikael Blomqvist and Lisbeth Salander, an
unconventional young hacker, to investigate."
16,17,6148028,Suzanne Collins,Catching Fire,https://images.gr-assets.com/books/1358273780l/6148028.jpg,4.3,1831039,"fantasy, romance","By winning the Hunger Games, Katniss and Peeta have secured a life of
safety and plenty for themselves and their families, but because they won
by defying the rules, they unwittingly become the faces of an impending
rebellion."
17,18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281l/5.jpg,4.53,1832823,"fantasy, fiction","Harry Potter and the Prisoner of AzkabanJ.K. Rowling, Mary GrandPré, Rufus Beck"
18,19,34,J.R.R. Tolkien, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339l/34.jpg,4.34,1766803,"fantasy, classics","In anticipation of the new film The Hobbit, opening in December 2012, comes
a reissue of the first book in The Lord of the Rings series. Reissue.
200,000 first printing."
19,20,7260188,Suzanne Collins,Mockingjay,https://images.gr-assets.com/books/1358275419l/7260188.jpg,4.03,1719760,"fiction, fantasy","Two-time Hunger Games survivor Katniss Everdeen is targeted by a vengeful
Capitol that vows to make Katniss and all of District 12 pay for the
current unrest."
20,21,2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547l/2.jpg,4.46,1735368,"fantasy, fiction","When the government of the magic world and authorities at Hogwarts School
of Witchcraft and Wizardry refuse to believe in the growing threat of a
freshly revived Lord Voldemort, fifteen-year-old Harry Potter finds support
from his loyal friends in facingthe evil wizard and other new terrors."
21,22,12232938,Alice Sebold,The Lovely Bones,https://images.gr-assets.com/books/1457810586l/12232938.jpg,3.77,1605173,"fiction, mystery","The spirit of fourteen-year-old Susie Salmon describes her murder, her
surprise at her new home in heaven, and her witness to her family's grief,
efforts to find the killer, and attempts to come to terms with what has
happened. A first novel. Reader's Guide included. Reprint. 750,000 first
printing."
22,23,15881,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725l/15881.jpg,4.37,1779331,"fantasy, fiction","Harry Potter and the Chamber of SecretsJ.K. Rowling, Mary GrandPré"
23,24,6,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611l/6.jpg,4.53,1753043,"fantasy, fiction","In Harry Potter and the Goblet of Fire, Harry is midway through both his
training as a wizard and his coming of age. He wants to get away from the
malicious Dursleys and go to the Quidditch World Cup with Hermione, Ron,
and the Weasleys. He wants to dream about his crush, Cho Chang (and maybe
do more than dream). And now that he’s gotten the hang of things at
Hogwarts—he hopes—he just wants to be a normal fourteen-year-old wizard.
But even by his standards, Harry's year is anything but normal. First
Dumbledore announces the revival of a grand competition that hasn't taken
place for one hundred years: the Triwizard Tournament, where a Hogwarts
champion will compete against rivals from two other schools of magic in
three highly dangerous tasks. Then someone frames Harry to participate in
the tournament—which really means someone wants him dead. Harry is guided
through the competition by Professor Alastor Moody, this year's Defense
Against the Dark Arts teacher, but he must also contend with a nasty
reporter named Rita Skeeter, who digs up some highly unflattering secrets
about Hagrid; a terrible fight with Ron, who is deeply jealous of Harry's
fame; Hermione's newfound activism on behalf of house-elves; and the
terrifying prospect of asking a date to the Yule Ball. Worst of all, Lord
Voldemort may finally have gathered the materials necessary for his
rejuvenation... and he has a faithful servant at Hogwarts waiting only for
a sign. No, nothing is ever normal for Harry Potter. And in his case,
different can be deadly."
24,25,136251,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184l/136251.jpg,4.61,1746574,"fantasy, fiction","In Harry Potter and the Deathly Hallows, the seventh and final book in the
epic tale of Harry Potter, Harry and Lord Voldemort each prepare for their
ultimate encounter. Voldemort takes control of the Ministry of Magic,
installs Severus Snape as headmaster at Hogwarts, and sends his Death
Eaters across the country to wreak havoc and find Harry. Meanwhile, Harry,
Ron, and Hermione embark on a desperate quest the length and breadth of
Britain, trying to locate and destroy Voldemort’s four remaining Horcruxes,
the magical objects in which he has hidden parts of his broken soul. They
visit the Burrow, Grimmauld Place, the Ministry, Godric’s Hollow, Malfoy
Manor, Diagon Alley…But every time they solve one mystery, three more
evolve—and not just about Voldemort, but about Dumbledore, and Harry’s own
past, and three mysterious objects called the Deathly Hallows. The Hallows
are literally things out of a children’s tale, which, if real, promise to
make their possessor the “Master of Death;” and they ensnare Harry with
their tantalizing claim of invulnerability. It is only after a nigh-
unbearable loss that he is brought back to his true purpose, and the trio
returns to Hogwarts for the final breathtaking battle between the forces of
good and evil. They fight the Death Eaters alongside members of the Order
of the Phoenix, Dumbledore’s Army, the Weasley clan, and the full array of
Hogwarts teachers and students. Yet everything turns upon the moment the
entire series has been building up to, the same meeting with which our
story began: the moment when Harry and Voldemort face each other at last."
